cluster_id,summary_keywords
9,"adapter reliable, absolutely issues, properly adapter, complaints great, issues just"
16,"memory phone, phone memory, storage apps, memory samsung, phones memory"
4,"s3 sandisk, samsung sandisk, sandisk reliable, sandisk good, sandisk recommend"
14,"sandisk 32gb, sandisk 16gb, 16gb sandisk, 32gb microsd, 16gb microsd"
3,"tablet storage, device storage, storage device, storage smartphone, storage android"
0,"speeds microsd, sandisk faster, performance sandisk, sandisk reliable, sandisk slow"
8,"sd card, recommend 32gb, card 32gb, cards 32gb, 32gb card"
6,"4gb card, s4 8gb, note 128gb, sd card, card sd"
17,"recommend sandisk, sandisk recommend, recommending sandisk, sandisk best, sandisk good"
1,"sd card, sd cards, sdhc card, card sd, microsd card"
18,"card reliable, sd card, sd cards, sdcards, sdr104 speeds"
10,"card gopro, carduse gopro, cards gopro, memory gopro, 1080p gopro"
5,"32gb overkill, affordable memory, memory storage, memory tablet, sandisk 32gb"
13,"sandisk micro, works sandisk, issues sandisk, use sandisk, tablet sandisk"
15,"tab3 memory, tablet 32gb, tablet performance, tablet 64gb, tablet 40gb"
11,"32gb microsd, 16gb microsd, microsd cards, 32gb sandisk, 8gb microsd"
12,"gps camera, camera card, card camera, videos card, card dashcam"
7,"storage device, storage capabilities, storage microness, storage works, storage compatibility"
2,"write sdcard, writes card, card writes, microsd card, card sd"
19,"successfully samsung, samsung note2, samsung tablet, samsung s4, galaxy tablet"
